"IRTKLong","IPS_LOCAL_CANFD_200ms_Frame3"
"IRTKLati","IPS_LOCAL_CANFD_200ms_Frame3"
"IRTKAlti","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssLonSigma","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssLatSigma","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssAltSigma","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssVe","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVn","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVu","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVeSigma","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVnSigma","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVuSigma","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssVdop","IPS_LOCAL_CANFD_200ms_Frame4"
"IGnssHdop","IPS_LOCAL_CANFD_200ms_Frame4"
"IRTKHead","IPS_LOCAL_CANFD_200ms_Frame3"
"IRTKHeadAcurc","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssAge","IPS_LOCAL_CANFD_200ms_Frame4"
"ITmspUtcMsg3","IPS_LOCAL_CANFD_200ms_Frame3"
"IRtkSts","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssMasAntUsedSatNum","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssMasAntHighQualitySatNum","IPS_LOCAL_CANFD_200ms_Frame3"
"IGnssMasAntUsedSatCN0Mean","IPS_LOCAL_CANFD_200ms_Frame4"
"IIMUTemp","IPS_LOCAL_CANFD_10ms_Frame2"
"IRollAngRate","IPS_LOCAL_CANFD_10ms_Frame2"
"IPitchAngRate","IPS_LOCAL_CANFD_10ms_Frame2"
"IHeadAngRate","IPS_LOCAL_CANFD_10ms_Frame2"
"IForAcc","IPS_LOCAL_CANFD_10ms_Frame2"
"IRightAcc","IPS_LOCAL_CANFD_10ms_Frame2"
"IDownAcc","IPS_LOCAL_CANFD_10ms_Frame2"
"ITmspUtcMsg2","IPS_LOCAL_CANFD_10ms_Frame2"
"IImuRollAngDevi","IPS_LOCAL_CANFD_10ms_Frame2"
"IImuPitchAngDevi","IPS_LOCAL_CANFD_10ms_Frame2"
"IImuYawAngDevi","IPS_LOCAL_CANFD_10ms_Frame2"
"IIpsLati","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsLong","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsAlti","IPS_LOCAL_CANFD_10ms_Frame0"
"IEastVelo","IPS_LOCAL_CANFD_10ms_Frame0"
"INorthVelo","IPS_LOCAL_CANFD_10ms_Frame0"
"IUpVelo","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsPitch","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsRoll","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsHead","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsLatiAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsLongAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsAltiAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
