x,x2,x3,v
4.8,23.04,110.592,2136.16314015477
4.82976131537638,23.3265943635061,112.661883076339,2125.85463393802
4.85952263075275,23.6149601987981,114.757433510385,2115.54612772128
4.88928394612912,23.905097505876,116.878809466131,2105.23762150454
4.9190452615055,24.1970062847397,119.026169107568,2094.9291152878
4.94880657688187,24.4906865353893,121.199670598687,2084.62060907106
4.97856789225825,24.7861382578247,123.39947210348,2074.31210285432
5.00832920763462,25.0833614520461,125.625731785939,2064.00359663758
5.038090523011,25.3823561180532,127.878607810054,2053.69509042083
5.06785183838737,25.6831222558463,130.158258339818,2043.38658420409
5.09761315376375,25.9856598654252,132.464841539222,2033.07807798735
5.13345502238223,26.3523604668214,135.278657190031,2022.76957177061
5.16982706915855,26.7271119250045,138.174546710318,2012.46106555387
5.20619911593486,27.104509234761,141.111472015861,2002.15255933713
5.24257116271118,27.4845523960909,144.08972181177,1991.84405312039
5.2789432094875,27.8672414089942,147.109584803158,1981.53554690365
5.31531525626381,28.2525762734708,150.171349695137,1971.2270406869
5.35168730304013,28.6405569895209,153.275305192816,1960.91853447016
5.38805934981644,29.0311835571444,156.421740001309,1950.61002825342
5.42931575133726,29.4774695277189,160.042489616408,1940.30152203668
5.47295934227458,29.9532839621906,163.933105292674,1929.99301581994
5.51660293321189,30.4329079227221,167.886269112656,1919.6845096032
5.56024652414921,30.9163414093134,171.902479860545,1909.37600338645
5.60389011508652,31.4035844219644,175.982236320532,1899.06749716971
5.64753370602384,31.8946369606753,180.126037276808,1888.75899095297
5.69117729696115,32.3894990254461,184.334381513564,1878.45048473623
5.74114969140023,32.960799779065,189.232885479884,1868.14197851949
5.7927256392596,33.5556703317356,194.378791873188,1857.83347230275
5.84430158711898,34.1558610412014,199.617152892509,1847.52496608601
5.89587753497835,34.7613719074624,204.948791714235,1837.21645986926
5.94745348283772,35.3722029305186,210.374531514755,1826.90795365252
5.9990294306971,35.9883541103699,215.895195470458,1816.59944743578
6.05903683978719,36.7119274258983,222.438920733112,1806.29094121904
6.11920595732968,37.444681548219,229.131718400174,1795.9824350023
6.17937507487216,38.1846763159514,235.957437068851,1785.67392878556
6.23954419241465,38.9319117290954,242.917383728877,1775.36542256882
6.29971330995714,39.6863877876511,250.012865369986,1765.05691635207
6.36909231714783,40.5653369443515,258.364375874782,1754.74841013533
6.43851541713449,41.4544807766785,266.90531358995,1744.43990391859
6.50793851712115,42.353263742629,275.632436436446,1734.13139770185
6.57736161710781,43.2616858422031,284.547751949883,1723.82289148511
6.6534663675655,44.2686147043253,294.539739073944,1713.51438526837
6.7328042627574,45.3306532406041,305.202415371917,1703.20587905163
6.81214215794929,46.40528078011,316.119369553661,1692.89737283488
6.89148005314118,47.4924973228428,327.293597974232,1682.58886661814
6.9802578617154,48.7239998160396,340.10608277013,1672.2803604014
7.07017136487358,49.9873231286783,353.418940591064,1661.97185418466
7.16008486803176,51.2668153174174,367.074748586419,1651.66334796792
7.25624662884468,52.6531151386198,382.063989222781,1641.35484175118
7.35739655273021,54.1312840341264,398.265322547541,1631.04633553444
7.45854647661574,55.6299155438371,414.918310573917,1620.73782931769
7.56671787899476,57.255219460299,433.234092756013,1610.42932310095
7.6797650363687,58.9787910138311,452.943257115316,1600.12081688421
7.79281219374263,60.7279218869438,473.241290181226,1589.81231066747
7.91761892701517,62.6886894734288,496.345154284596,1579.50380445073
8.04322413063856,64.6934544156865,520.343953650615,1569.19529823399
8.17607302512149,66.8481701121193,546.555520432432,1558.88679201725
8.31489708775541,69.1375135799634,574.871310320688,1548.5782858005
8.45909220725403,71.5562409708259,605.300840376705,1538.26977958376
8.61179594165953,74.1630293407836,638.676875098136,1527.96127336702
8.77064134997912,76.9241496899636,674.674128082779,1517.65276715028
8.93788556891726,79.8857984430594,714.010125065653,1507.34426093354
9.11468532986312,83.077488662422,757.225167153248,1497.0357547168
9.29713084609496,86.4366419694103,803.612770286671,1486.72724850006
9.49518902347237,90.1586145914702,856.073087640404,1476.41874228331
9.70128675827082,94.1149647662008,913.036261441469,1466.11023606657
9.91740648877349,98.3549514635665,975.426033847777,1455.80172984983
10.1494207734528,103.010742036594,1045.49936511499,1445.49322363309
10.3953894862807,108.064122571476,1123.36864362367,1435.18471741635
10.6560058841403,113.550461402833,1209.99438485544,1424.87621119961
10.9332524053147,119.53600815832,1306.91734871867,1414.56770498287
11.2291114880871,126.092944811889,1415.9117351539,1404.25919876612
11.5455655707405,133.300084348269,1539.02486442818,1393.95069254938
11.8845970915583,141.243648028676,1678.6238485627,1383.64218633264
12.2481884888236,150.018121257751,1837.45022590413,1373.3336801159
12.6405761867106,159.784166332035,2019.76392795013,1363.02517389916
13.0659499798299,170.719048875418,2230.60655321036,1352.71666768242
13.5244039478449,182.909502144484,2473.74199290121,1342.40816146568
14.0254372048005,196.712888785803,2758.98426904018,1332.09965524893
14.5717642640584,212.336313767289,3094.11470891608,1321.79114903219
15.1700635206747,230.130827221306,3491.09926701262,1311.48264281545
15.8282647277822,250.533964292753,3965.51791012642,1301.17413659871
16.556607982633,274.121267890586,4538.51837216674,1290.86563038197
17.3665439004621,301.596847046676,5237.69488447703,1280.55712416523
18.2729217548425,333.899669458598,6101.32253398475,1270.24861794849
19.2945326720777,372.278991033873,7182.94915563117,1259.94011173174
20.4526437702374,418.31063719223,8555.55844779369,1249.631605515
21.7789740618525,474.323711186844,10330.2838028599,1239.32309929826
23.3111912794431,543.411638866784,12667.5726570992,1229.01459308152
25.1024155803841,630.131267970312,15817.8169587852,1218.70608686478
